"price","volume","yard","area","rooms","sleeping","iso","hood","garden","balcony","garage","age","openh","paint","days","mALM","mAMS","mBRE","mDHA","mEIN","mGRO","mNIJ","mROT","mTIL","mUTR"
345000,509,127,141,6,5,0,"Oosterhout",1,0,0,13,0,0,126,0,0,0,0,0,0,1,0,0,0
222500,256,0,81,3,2,0,"Heseveld",1,0,0,28,0,0,21,0,0,0,0,0,0,1,0,0,0
179000,226,0,70,3,0,0,"Neerbosch-Oost",0,1,0,54,0,0,38,0,0,0,0,0,0,1,0,0,0
465000,340,0,124,4,3,0,"Stadscentrum",0,0,1,39,0,0,36,0,0,0,0,0,0,1,0,0,0
250000,212,0,64,2,0,0,"",1,1,0,3,0,0,17,0,0,0,0,0,0,1,0,0,0
224000,205,0,63,3,2,0,"Stadscentrum",0,0,0,10,0,0,16,0,0,0,0,0,0,1,0,0,0
600000,520,644,146,5,4,0,"Hatert",1,0,0,24,0,0,105,0,0,0,0,0,0,1,0,0,0
850000,748,0,222,4,3,0,"Kwakkenberg",0,1,1,21,1,0,71,0,0,0,0,0,0,1,0,0,0
450000,570,168,142,6,5,0,"Hengstdal",1,1,0,84,0,0,28,0,0,0,0,0,0,1,0,0,0
695000,986,364,254,9,0,0,"Galgenveld",1,0,1,46,0,0,243,0,0,0,0,0,0,1,0,0,0
232500,400,180,106,5,4,0,"&#39;t Acker",1,0,0,36,0,0,53,0,0,0,0,0,0,1,0,0,0
165000,265,142,88,4,2,0,"&#39;t Acker",1,0,0,36,0,0,85,0,0,0,0,0,0,1,0,0,0
199500,242,0,70,3,2,0,"Hatertse Hei",0,0,0,64,0,0,58,0,0,0,0,0,0,1,0,0,0
217000,201,0,62,3,2,0,"Hazenkamp",1,0,0,66,0,0,39,0,0,0,0,0,0,1,0,0,0
399000,451,299,129,5,4,0,"Brakkenstein",1,0,1,49,1,0,128,0,0,0,0,0,0,1,0,0,0
535000,505,204,158,5,4,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
675000,698,254,213,5,4,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
665000,823,192,208,8,7,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
640000,749,179,192,8,7,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
650000,902,168,194,8,7,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
750000,1133,322,234,8,5,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
555000,505,231,154,6,5,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
575000,505,257,155,6,5,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
575000,505,257,155,6,5,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
575000,481,275,140,4,3,0,"Hunnerberg",1,0,0,-1,0,0,30,0,0,0,0,0,0,1,0,0,0
650000,1090,402,219,5,4,0,"Groenewoud",1,1,1,65,0,0,283,0,0,0,0,0,0,1,0,0,0
175000,336,151,79,6,4,0,"Hatert",1,0,0,57,0,0,21,0,0,0,0,0,0,1,0,0,0
300000,375,171,84,5,4,0,"Nije Veld",1,0,0,79,0,0,46,0,0,0,0,0,0,1,0,0,0
185000,190,0,65,4,3,0,"Hatertse Hei",0,1,0,57,0,0,2,0,0,0,0,0,0,1,0,0,0
559500,675,370,190,7,6,0,"Oosterhout",1,0,1,18,0,0,222,0,0,0,0,0,0,1,0,0,0
147500,124,0,40,2,1,0,"Biezen",0,1,0,35,0,0,3,0,0,0,0,0,0,1,0,0,0
690000,1109,182,294,10,6,0,"Bottendaal",1,1,0,131,1,0,274,0,0,0,0,0,0,1,0,0,0
465000,569,351,150,5,4,0,"Oosterhout",1,0,1,18,0,0,214,0,0,0,0,0,0,1,0,0,0
575000,657,553,170,6,5,0,"Oosterhout",1,0,0,19,0,0,140,0,0,0,0,0,0,1,0,0,0
1150000,854,2520,203,6,4,0,"Kwakkenberg",1,0,1,91,1,0,186,0,0,0,0,0,0,1,0,0,0
400000,498,143,138,5,4,0,"Nije Veld",1,0,0,11,0,0,28,0,0,0,0,0,0,1,0,0,0
395000,331,0,110,3,2,0,"Hengstdal",0,1,1,14,0,0,49,0,0,0,0,0,0,1,0,0,0
350000,428,0,94,4,3,0,"Altrade",1,1,0,113,0,0,36,0,0,0,0,0,0,1,0,0,0
325000,524,154,128,5,4,0,"Wolfskuil",1,0,0,122,0,0,41,0,0,0,0,0,0,1,0,0,0
275000,396,117,89,4,2,0,"Wolfskuil",1,0,0,123,0,0,56,0,0,0,0,0,0,1,0,0,0
235000,390,210,130,5,4,0,"Weezenhof",0,0,0,48,0,0,66,0,0,0,0,0,0,1,0,0,0
549000,591,119,177,7,3,0,"",1,0,0,0,0,0,151,0,0,0,0,0,0,1,0,0,0
335000,407,167,88,6,4,0,"Hengstdal",1,0,0,71,0,0,6,0,0,0,0,0,0,1,0,0,0
117500,92,0,29,1,0,0,"Stadscentrum",0,1,0,13,0,0,77,0,0,0,0,0,0,1,0,0,0
265000,347,129,92,5,4,0,"Wolfskuil",1,0,0,79,0,0,38,0,0,0,0,0,0,1,0,0,0
350000,400,184,108,5,4,0,"Hatertse Hei",1,0,0,87,0,0,7,0,0,0,0,0,0,1,0,0,0
210000,435,166,106,4,3,0,"Malvert",1,0,0,51,0,0,7,0,0,0,0,0,0,1,0,0,0
250000,329,148,85,4,3,0,"Heseveld",1,0,0,60,0,0,7,0,0,0,0,0,0,1,0,0,0
215000,340,255,79,3,2,0,"Hatert",1,0,0,61,0,0,8,0,0,0,0,0,0,1,0,0,0
175000,220,144,80,4,3,0,"Hatert",1,0,0,55,0,0,8,0,0,0,0,0,0,1,0,0,0
224500,468,175,138,6,5,0,"Zwanenveld",1,0,0,44,0,0,9,0,0,0,0,0,0,1,0,0,0
250000,275,165,76,4,3,0,"Brakkenstein",1,0,0,67,0,0,9,0,0,0,0,0,0,1,0,0,0
595000,700,0,165,5,3,0,"Stadscentrum",0,0,0,119,0,0,148,0,0,0,0,0,0,1,0,0,0
600000,525,316,140,9,4,0,"Hengstdal",1,0,1,92,0,0,15,0,0,0,0,0,0,1,0,0,0
337500,442,138,144,5,3,0,"",1,0,0,2,0,0,140,0,0,0,0,0,0,1,0,0,0
449000,375,0,120,3,2,0,"Hazenkamp",0,0,1,16,0,0,147,0,0,0,0,0,0,1,0,0,0
285000,371,149,106,6,2,0,"Grootstal",1,1,0,22,0,0,18,0,0,0,0,0,0,1,0,0,0
169000,300,131,100,4,3,0,"Zwanenveld",1,0,0,44,0,0,18,0,0,0,0,0,0,1,0,0,0
280000,375,169,130,5,4,0,"Grootstal",1,0,0,58,0,0,19,0,0,0,0,0,0,1,0,0,0
275000,375,148,109,4,3,0,"Wolfskuil",1,0,0,119,0,0,21,0,0,0,0,0,0,1,0,0,0
398500,450,270,124,6,4,0,"Hees",1,1,1,60,0,0,22,0,0,0,0,0,0,1,0,0,0
360000,340,142,110,5,4,0,"St. Anna",1,0,0,81,0,0,22,0,0,0,0,0,0,1,0,0,0
299000,415,136,115,5,4,0,"Oosterhout",1,0,0,15,0,0,23,0,0,0,0,0,0,1,0,0,0
242500,347,0,83,3,2,0,"Hengstdal",1,0,0,83,0,0,161,0,0,0,0,0,0,1,0,0,0
235000,312,0,82,3,1,0,"Stadscentrum",0,0,1,11,0,0,47,0,0,0,0,0,0,1,0,0,0
775000,956,760,183,11,5,0,"Brakkenstein",1,0,1,55,0,0,42,0,0,0,0,0,0,1,0,0,0
430000,445,162,125,5,4,0,"Hazenkamp",1,1,0,84,0,0,30,0,0,0,0,0,0,1,0,0,0
